# Column descriptions:
# id	Object ID, according to EcoCyc
# rna-count-avg	A floating point number
# rna-count-std	A floating point number
# rna-concentration-avg	A floating point number in mM units
# rna-concentration-std	A floating point number in mM units
# relative-rna-count-to-total-rna-counts	A floating point number
# relative-rna-count-to-total-rna-type-counts	A floating point number
# relative-rna-mass-to-total-rna-mass	A floating point number
# relative-rna-mass-to-total-rna-type-mass	A floating point number
# relative-rna-mass-to-total-cell-dry-mass	A floating point number
id	rna-count-avg	rna-count-std	rna-concentration-avg	rna-concentration-std	relative-rna-count-to-total-rna-counts	relative-rna-count-to-total-rna-type-counts	relative-rna-mass-to-total-rna-mass	relative-rna-mass-to-total-rna-type-mass	relative-rna-mass-to-total-cell-dry-mass
EG10001	0.854657238492836	0.9201768548927911	4.606271197618574e-07	5.004150940309942e-07	1.2405687779220036e-06	4.0106895778107464e-05	3.1234152285640725e-06	6.533103894191998e-05	4.809775983801012e-07
EG10002	1.347058293062017	1.308791823466516	7.127725685131755e-07	6.907773567586236e-07	1.955308379954304e-06	6.321402795598802e-05	3.13442883661547e-06	6.556140551307474e-05	4.826735940650863e-07
EG10003	0.7212659073910022	0.8983522364432546	3.7752887863027396e-07	4.675709550312204e-07	1.0469459860502437e-06	3.384717904811323e-05	1.8477620811414396e-06	3.864878911215123e-05	2.8453859097491957e-07
EG10004	1.9208754833884136	1.4895692754937095	1.032814521739937e-06	7.779314094493862e-07	2.7882267225277553e-06	9.01418128170767e-05	7.91581144591391e-06	0.000165571385162147	1.2189631220552549e-06
EG10006	0.022332677321988403	0.14776308350046877	1.2842270283699685e-08	8.572400355847085e-08	3.241676424799604e-08	1.0480158845651677e-06	1.008985309177057e-07	2.110448137757719e-06	1.5537458048185655e-08
EG10007	2.463888432097521	1.6475770037873396	1.3224874876347865e-06	8.710507798481616e-07	3.5764314902821766e-06	0.0001156240327751559	5.9342758529973925e-06	0.00012412451706669237	9.138246243397805e-07
EG10008	0.05779442266581085	0.23335429581357917	3.099931580519815e-08	1.277464422742633e-07	8.389088990069286e-08	2.7121456205077206e-06	2.7380015633242566e-07	5.7269518673253584e-06	4.216273917874474e-08
EG10011	1.2311511672935023	1.1502632325043265	6.587840828147562e-07	6.173752074672548e-07	1.7870646035128044e-06	5.7774800621605856e-05	3.2321835677164585e-06	6.760609623684112e-05	4.977269354733183e-07
EG10012	1.2728299905046336	1.2302080511849411	6.812322052056417e-07	6.42449387748046e-07	1.8475630635357272e-06	5.9730682047978424e-05	7.3921847743849834e-06	0.0001546189270464801	1.1383293668578925e-06
EG10013	0.7937914096110082	0.9059320689290086	4.3185922473153725e-07	4.954685106106795e-07	1.152219620444211e-06	3.725061685661085e-05	3.553452304364747e-06	7.432592655361906e-05	5.471994052155952e-07
EG10014	0.06348103313829816	0.24382615029928767	3.5546818308340105e-08	1.3957665028361168e-07	9.214522987072891e-08	2.9790038219931978e-06	6.679271432807842e-07	1.3970724676303517e-05	1.0285471823602696e-07
